MB_16S_ID,MG_ID,MB_18S_ID,Date,Station,SAMPLE_TYPE,Cast,Sample_type,Julian_Day,LAT,LON,DEPTH
EX251KBt0DNA,,EX251KBt0DNA,45782,KB,Water,,DNA,2025125,41.38257343,2.199491127,10
EX251KB1t4DNA,,EX251KB1t4DNA,45785,KB1,Water,,DNA,2025128,41.38257343,2.199491127,10
EX251KB2t4DNA,,EX251KB2t4DNA,45785,KB2,Water,,DNA,2025128,41.38257343,2.199491127,10
EX251KA1t4DNA,,EX251KA1t4DNA,45785,KA1,Water,,DNA,2025128,41.38257343,2.199491127,10
EX251KA2t4DNA,,EX251KA2t4DNA,45785,KA2,Water,,DNA,2025128,41.38257343,2.199491127,10
EX251CB1t4DNA,,EX251CB1t4DNA,45785,CB1,Water,,DNA,2025128,41.38257343,2.199491127,10
EX251CB2t4DNA,,EX251CB2t4DNA,45785,CB2,Water,,DNA,2025128,41.38257343,2.199491127,10
EX251CA1t4DNA,,EX251CA1t4DNA,45785,CA1,Water,,DNA,2025128,41.38257343,2.199491127,10
EX251CA2t4DNA,,EX251CA2t4DNA,45785,CA2,Water,,DNA,2025128,41.38257343,2.199491127,10
EX252KBt0DNA,,EX252KBt0DNA,45803,KB,Water,,DNA,2025146,41.38257343,2.199491127,10
EX252KB1t4DNA,,EX252KB1t4DNA,45806,KB1,Water,,DNA,2025149,41.38257343,2.199491127,10
EX252KB2t4DNA,,EX252KB2t4DNA,45806,KB2,Water,,DNA,2025149,41.38257343,2.199491127,10
EX252KA1t4DNA,,EX252KA1t4DNA,45806,KA1,Water,,DNA,2025149,41.38257343,2.199491127,10
EX252KA2t4DNA,,EX252KA2t4DNA,45806,KA2,Water,,DNA,2025149,41.38257343,2.199491127,10
EX252CB1t4DNA,,EX252CB1t4DNA,45806,CB1,Water,,DNA,2025149,41.38257343,2.199491127,10
EX252CB2t4DNA,,EX252CB2t4DNA,45806,CB2,Water,,DNA,2025149,41.38257343,2.199491127,10
EX252CA1t4DNA,,EX252CA1t4DNA,45806,CA1,Water,,DNA,2025149,41.38257343,2.199491127,10
EX252CA2t4DNA,,EX252CA2t4DNA,45806,CA2,Water,,DNA,2025149,41.38257343,2.199491127,10
EX253KBt0DNA,,EX253KBt0DNA,45824,KB,Water,,DNA,2025167,41.38257343,2.199491127,10
EX253KB1t4DNA,,EX253KB1t4DNA,45827,KB1,Water,,DNA,2025170,41.38257343,2.199491127,10
EX253KB2t4DNA,,EX253KB2t4DNA,45827,KB2,Water,,DNA,2025170,41.38257343,2.199491127,10
EX253KA1t4DNA,,EX253KA1t4DNA,45827,KA1,Water,,DNA,2025170,41.38257343,2.199491127,10
EX253KA2t4DNA,,EX253KA2t4DNA,45827,KA2,Water,,DNA,2025170,41.38257343,2.199491127,10
EX253CB1t4DNA,,EX253CB1t4DNA,45827,CB1,Water,,DNA,2025170,41.38257343,2.199491127,10
EX253CB2t4DNA,,EX253CB2t4DNA,45827,CB2,Water,,DNA,2025170,41.38257343,2.199491127,10
EX253CA1t4DNA,,EX253CA1t4DNA,45827,CA1,Water,,DNA,2025170,41.38257343,2.199491127,10
EX253CA2t4DNA,,EX253CA2t4DNA,45827,CA2,Water,,DNA,2025170,41.38257343,2.199491127,10
AE01F01ADNA,AE01F01ADNA,,45665,1_East_Elefsis_Gulf,Water,,DNA,20258,38.01754,23.55751,2_
AE01F02ADNA,,,45665,1_East_Elefsis_Gulf,Water,,DNA,20258,38.01754,23.55751,18
AE02F01ADNA,,,45665,2_East_Elefsis_Gulf,Water,,DNA,20258,38.01094,23.47087,2_
AE02F02ADNA,,,45665,2_East_Elefsis_Gulf,Water,,DNA,20258,38.01094,23.47087,30
AE04F01ADNA,,,45665,4_Salamina_1,Water,,DNA,20258,37.95045,23.34402,_2
AE04F02ADNA,,,45665,4_Salamina_1,Water,,DNA,20258,37.95045,23.34402,76
AE05F01ADNA,,,45665,5_Salamina_2,Water,,DNA,20258,37.89231,23.391764,_2
AE05F02ADNA,,,45665,5_Salamina_2,Water,,DNA,20258,37.89231,23.391764,70
AE08F01ADNA,,,45665,8_Megara_basin,Water,,DNA,20258,37.87454,23.15803,_2
AE08F02ADNA,,,45665,8_Megara_basin,Water,,DNA,20258,37.87454,23.15803,113
AE08F03ADNA,,,45665,8_Megara_basin,Water,,DNA,20258,37.87454,23.15803,225
AE07F01ADNA,,,45665,7_Ag._Theodori,Water,,DNA,20258,37.88995,23.07729,2_
AE07F02ADNA,,,45665,7_Ag._Theodori,Water,,DNA,20258,37.88995,23.07729,145
AE09F01ADNA,,,45666,9_Epidavros_basin,Water,,DNA,20259,37.64605,23.25391,_2
AE09F02ADNA,,,45666,9_Epidavros_basin,Water,,DNA,20259,37.64605,23.25391,205
AE09F03ADNA,,,45666,9_Epidavros_basin,Water,,DNA,20259,37.64605,23.25391,409
AE10F01ADNA,,,45666,10_Outer_Saronikos,Water,,DNA,20259,37.6405,23.71544,2_
AE10F02ADNA,,,45666,10_Outer_Saronikos,Water,,DNA,20259,37.6405,23.71544,113
AE10F03ADNA,,,45666,10_Outer_Saronikos,Water,,DNA,20259,37.6405,23.71544,225
AE11F01ADNA,,,45666,11_Sounio,Water,,DNA,20259,37.65325,23.97427,2_
AE11F02ADNA,,,45666,11_Sounio,Water,,DNA,20259,37.65325,23.97427,25
AE06F01ADNA,,,45666,6_Kifisos_river_estuary,Water,,DNA,20259,37.92654,23.67018,_2
AE06F02ADNA,,,45666,6_Kifisos_river_estuary,Water,,DNA,20259,37.92654,23.67018,19
AE03F01ADNA,,,45666,3_Psytallia,Water,,DNA,20259,37.92749,23.59576,_2
AE03F02ADNA,,,45666,3_Psytallia,Water,,DNA,20259,37.92749,23.59576,56
AE01SDNA,AE01SDNA,,45665,1_East_Elefsis_Gulf,Sediment,,DNA,20258,38.01754,23.55751,20
AE02SDNA,,,45665,2_East_Elefsis_Gulf,Sediment,,DNA,20258,38.01094,23.47087,32
AE03SDNA,,,45666,3_Psytallia,Sediment,,DNA,20259,37.92749,23.59576,58
AE04SDNA,,,45665,4_Salamina_1,Sediment,,DNA,20258,37.95045,23.34402,78
AE05SDNA,,,45665,5_Salamina_2,Sediment,,DNA,20258,37.89231,23.391764,72
AE06SDNA,,,45666,6_Kifisos_river_estuary,Sediment,,DNA,20259,37.92654,23.67018,21
